id_curriculo;codigo;nome_matriz;id_curso;nome_curso;semestre_conclusao_minimo;semestre_conclusao_ideal;semestre_conclusao_maximo;meses_conclusao_minimo;meses_conclusao_ideal;meses_conclusao_maximo;cr_total_minimo;ch_total_minima;ch_optativas_minima;max_eletivos;ch_nao_atividade_obrigatoria;cr_nao_atividade_obrigatorio;ch_atividade_obrigatoria;cr_minimo_semestre;cr_maximo_semestre;ch_minima_semestre;ch_maxima_semestre;periodo_entrada_vigor;ano_entrada_vigor;observacao
51;3727/-2;RELAÇÕES INTERNACIONAIS - BRASÍLIA -  - MT - Bacharel;414899;RELAÇÕES INTERNACIONAIS;6;9;12;;;;8;2790;1080;360;1710;8;0;;;240;480;1;2005;
93;8150/-3;ADMINISTRAÇÃO - BRASÍLIA -  - N - Bacharel;414099;ADMINISTRAÇÃO;8;12;16;;;;4;3000;1320;360;1680;4;0;;;180;450;1;2015;
11;5649/-5;ARTES VISUAIS - BRASÍLIA -  - MT - Bacharel;414552;ARTES VISUAIS;8;10;12;;;;0;2790;1470;360;1320;0;0;;;240;360;1;2003;
101;8486/-3;DIREITO - BRASÍLIA -  - MT - Bacharel;414220;DIREITO;10;13;16;;;;4;3840;390;360;3150;4;0;;;240;450;1;2017;
121;9628/-4;EDUCAÇÃO DO CAMPO - LINGUAGENS, ARTES E LITERATURA - BRASÍLIA -  - MT - Licenciado;414885;EDUCAÇÃO DO CAMPO - LINGUAGENS, ARTES E LITERATURA;8;10;12;;;;0;4255;400;360;3495;0;0;;;315;600;2;2007;
228;60836/1;ENGENHARIA AEROESPACIAL - BRASÍLIA -  - MT - Bacharel;414916;ENGENHARIA AEROESPACIAL;10;10;18;;;;0;3930;1680;360;2250;0;0;;;240;450;2;2018;
161;5606/1;MÚSICA - BRASÍLIA -  - N - Licenciado;414460;MÚSICA;8;11;14;;;;0;2850;1470;360;1380;0;0;;;210;360;1;2016;
97;8192/-2;ARQUIVOLOGIA - BRASÍLIA -  - N - Bacharel;414931;ARQUIVOLOGIA;6;10;10;;;;0;2400;1110;360;1290;0;0;;;240;420;2;2006;
350;7145/1;TERAPIA OCUPACIONAL - BRASÍLIA -  - MT - Bacharel;414914;TERAPIA OCUPACIONAL;8;10;12;;;;0;3510;840;360;2520;0;0;;;300;450;1;2018;
466;9245/1;PEDAGOGIA - BRASÍLIA -  - N - Licenciado;414230;PEDAGOGIA;8;11;14;;;;0;3330;780;360;2310;0;0;;;240;420;1;2019;
125;7013/-3;FARMÁCIA - BRASÍLIA -  - MT - Bacharel;414906;FARMÁCIA;10;10;18;;;;0;4380;1200;360;3180;0;0;;;210;480;2;2008;
193;4120/1;LETRAS - LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA - BRASÍLIA -  - MT - Licenciado;414844;LETRAS - LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA;6;10;14;;;;0;2700;810;360;1890;0;0;;;180;450;1;2015;
