id_curso,nome,id_coordenador,coordenador,situacao_curso,nivel_ensino,grau_academico,modalidade_educacao,area_conhecimento,tipo_oferta,turno,tipo_ciclo_formacao,municipio,campus,id_unidade_responsavel,unidade_responsavel,website,data_funcionamento,codigo_inep,dou,portaria_reconhecimento,convenio_academico,nome_curso_norm,turno_norm,campus_norm,grau_academico_norm,area_conhecimento_norm,unidade_responsavel_norm
414342,ENGENHARIA FLORESTAL,12088,Abdelhamid Polastre Bilião,ATIVO,,Engenheiro Florestal,Presencial,Ciências Agrárias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,433,DEPTO ENGENHARIA FLORESTAL,,2016-12-19,139,2016-12-15,795,,ENGENHARIA FLORESTAL,MATUTINO E VESPERTINO,DARCY RIBEIRO,ENGENHEIRO FLORESTAL,CIENCIAS AGRARIAS,DEPTO ENGENHARIA FLORESTAL
414368,ENGENHARIA MECÂNICA,16027,THIAGO DE CARVALHO RODRIGUES DOCA,ATIVO,,Engenheiro Mecânico,Presencial,Engenharias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,449,DEPARTAMENTO DE ENGENHARIA MECANICA,,2015-12-14,138,2015-12-30,1096,,ENGENHARIA MECANICA,MATUTINO E VESPERTINO,DARCY RIBEIRO,ENGENHEIRO MECANICO,ENGENHARIAS,DEPARTAMENTO DE ENGENHARIA MECANICA
414333,ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO,6648,Bersacula Wolker B Correia,ATIVO,,Engenheiro de Controle e Automação,Presencial,Engenharias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,429,FACULDADE DE  TECNOLOGIA,,2016-08-05,85124,2016-07-18,317,,ENGENHARIA MECATRONICA - CONTROLE E AUTOMACAO,MATUTINO E VESPERTINO,DARCY RIBEIRO,ENGENHEIRO DE CONTROLE E AUTOMACAO,ENGENHARIAS,FACULDADE DE TECNOLOGIA
414862,ENGENHARIA QUÍMICA,628,ALEXANDRE PEREZ UMPIERRE,ATIVO,,Bacharel,Presencial,Engenharias,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,610,INSTITUTO DE QUÍMICA,,2012-03-05,1192414,2007-12-13,40,,ENGENHARIA QUIMICA,MATUTINO E VESPERTINO,DARCY RIBEIRO,BACHAREL,ENGENHARIAS,INSTITUTO DE QUIMICA
414620,ESTATÍSTICA,7457,JHAMES MATOS SAMPAIO,ATIVO,,Bacharel,Presencial,Ciências Exatas e da Terra,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,514,DEPTO ESTATÍSTICA,,2019-03-06,119,2011-10-14,077543,,ESTATISTICA,MATUTINO E VESPERTINO,DARCY RIBEIRO,BACHAREL,CIENCIAS EXATAS E DA TERRA,DEPTO ESTATISTICA
414906,FARMÁCIA,12201,Aleticia Hosannam Tatsuta Donatelli Sa Citadin,ATIVO,,Bacharel,Presencial,Ciências da Saúde,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,FACULDADE DE CEILÂNDIA,672,FACULDADE DE CEILÂNDIA,,2016-08-05,112794,2007-12-13,40,,FARMACIA,MATUTINO E VESPERTINO,FACULDADE DE CEILANDIA,BACHAREL,CIENCIAS DA SAUDE,FACULDADE DE CEILANDIA
414286,FARMÁCIA,706,Sanotos Pieta Zeneratti,ATIVO,,Bacharel,Presencial,Ciências da Saúde,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,410,FACULDADE DE  CIÊNCIAS DA SAÚDE,,2015-03-02,18030,2015-01-02,822,,FARMACIA,MATUTINO E VESPERTINO,DARCY RIBEIRO,BACHAREL,CIENCIAS DA SAUDE,FACULDADE DE CIENCIAS DA SAUDE
414287,FARMÁCIA,19176,Sgarbossa Botacini Honotorio,ATIVO,,Bacharel,Presencial,Ciências da Saúde,Semestral,Noturno,Um ciclo,BRASÍLIA,DARCY RIBEIRO,410,FACULDADE DE  CIÊNCIAS DA SAÚDE,,2015-03-02,1140088,2015-01-02,822,,FARMACIA,NOTURNO,DARCY RIBEIRO,BACHAREL,CIENCIAS DA SAUDE,FACULDADE DE CIENCIAS DA SAUDE
414714,FILOSOFIA,10652,MARCIO GIMENES DE PAULA,ATIVO,,Licenciado,Presencial,Ciências Humanas,Semestral,Matutino e Vespertino,Um ciclo,BRASÍLIA,DARCY RIBEIRO,552,DEPTO FILOSOFIA,,2013-08-12,44362,2012-12-27,071346,,FILOSOFIA,MATUTINO E VESPERTINO,DARCY RIBEIRO,LICENCIADO,CIENCIAS HUMANAS,DEPTO FILOSOFIA
414715,FILOSOFIA,19204,FABIO MASCARENHAS NOLASCO,ATIVO,,Licenciado,Presencial,Ciências Humanas,Semestral,Noturno,Um ciclo,BRASÍLIA,DARCY RIBEIRO,552,DEPTO FILOSOFIA,,2015-12-14,1138346,2015-12-30,1096,,FILOSOFIA,NOTURNO,DARCY RIBEIRO,LICENCIADO,CIENCIAS HUMANAS,DEPTO FILOSOFIA
