curso,departamento,campus,turno,area_conhecimento,grau_academico,semestre_minimo_previsto,semestre_ideal_previsto,semestre_maximo_previsto,carga_horaria_minima,total_discentes_registrados,total_formados,total_evadidos_desligados,taxa_formatura_pct,taxa_evasao_pct,formados_tempo_minimo_pct,formados_tempo_ideal_pct,formados_acima_ideal_pct,formados_limite_maximo_pct,tempo_medio_real_semestres,tempo_mediano_real_semestres,desvio_medio_semestres,indice_retencao_critica,classificacao_retencao,pibic_total_projetos,pibic_bolsas_remuneradas,pibic_bolsas_voluntarias,pibic_cotistas,pibic_investimento_total,pibic_projetos_por_100_alunos
LETRAS - LINGUA INGLESA E RESPECTIVA LITERATURA,INSTITUTO DE LETRAS,DARCY RIBEIRO,MATUTINO E VESPERTINO,OUTRA,LICENCIADO,6.0,10.0,14.0,3540,824,322,439,39.08,53.28,7.76,53.11,46.89,12.11,10.36,10.0,0.36,35.2,RETENÇÃO ALTA,24,13.0,9.0,9.0,73200.0,2.91
FISIOTERAPIA,UNB - FACULDADE DA CEILANDIA,FACULDADE DE CEILANDIA,MATUTINO E VESPERTINO,CIENCIAS DA SAUDE,BACHAREL,10.0,10.0,18.0,4500,615,339,225,55.12,36.59,14.45,14.45,85.55,1.18,12.22,12.0,2.22,35.1,RETENÇÃO ALTA,367,230.0,106.0,149.0,1104000.0,59.67
LETRAS - PORTUGUES DO BRASIL COMO SEGUNDA LINGUA,INSTITUTO DE LETRAS,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",LICENCIADO,6.0,10.0,14.0,2820,366,104,205,28.42,56.01,2.88,61.54,38.46,7.69,10.04,9.5,0.04,35.1,RETENÇÃO ALTA,4,4.0,0.0,0.0,22800.0,1.09
ENGENHARIA ELETRICA,DEPARTAMENTO DE ENGENHARIA ELETRICA.,DARCY RIBEIRO,MATUTINO E VESPERTINO,ENGENHARIAS,ENGENHEIRO ELETRICISTA,8.0,10.0,18.0,3930,590,303,215,51.36,36.44,4.62,16.17,83.83,0.99,12.22,12.0,2.22,35.0,RETENÇÃO ALTA,140,98.0,32.0,34.0,499200.0,23.73
MUSICA - SAXOFONE,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,6.0,8.0,10.0,2070,13,8,5,61.54,38.46,0.0,12.5,87.5,50.0,10.0,9.5,2.0,35.0,RETENÇÃO ALTA,0,,,,0.0,0.0
GEOGRAFIA,DEPARTAMENTO DE GEOGRAFIA,DARCY RIBEIRO,MATUTINO E VESPERTINO,CIENCIAS HUMANAS,LICENCIADO,6.0,10.0,14.0,2910,876,317,488,36.19,55.71,4.73,69.09,30.91,10.09,9.84,9.0,-0.16,34.6,RETENÇÃO ALTA,135,74.0,52.0,74.0,366000.0,15.41
LINGUA DE SINAIS BRASILEIRA -PORTUGUES COMO SEGUNDA LINGUA,"DEPARTAMENTO DE LINGUISTICA, PORTUGUES, LING CLAS",DARCY RIBEIRO,MATUTINO E VESPERTINO,"LINGUISTICA, LETRAS E ARTES",LICENCIADO,8.0,12.0,16.0,2820,90,23,50,25.56,55.56,91.3,100.0,0.0,0.0,8.13,8.0,-3.87,34.5,RETENÇÃO ALTA,6,3.0,3.0,2.0,14400.0,6.67
CIENCIAS AMBIENTAIS,INSTITUTO DE GEOCIENCIAS,DARCY RIBEIRO,NOTURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,7.0,11.0,14.0,2700,527,166,267,31.5,50.66,1.81,52.41,47.59,22.29,11.55,11.0,0.55,34.5,RETENÇÃO ALTA,87,67.0,17.0,21.0,325200.0,16.51
MUSICA,DEPARTAMENTO DE ARTES VISUAIS,DARCY RIBEIRO,MATUTINO E VESPERTINO,OUTRA,LICENCIADO,8.0,11.0,14.0,3015,549,227,302,41.35,55.01,26.87,69.16,30.84,10.13,10.41,10.0,-0.59,34.1,RETENÇÃO ALTA,35,26.0,5.0,9.0,124800.0,6.38
QUIMICA,INSTITUTO DE QUIMICA,DARCY RIBEIRO,NOTURNO,CIENCIAS EXATAS E DA TERRA,LICENCIADO,7.0,10.0,12.0,3150,953,234,508,24.55,53.31,14.96,55.98,44.02,32.91,10.16,10.0,0.16,33.9,RETENÇÃO ALTA,165,114.0,39.0,41.0,579600.0,17.31
